Designator,Footprint,Quantity,Value,LCSC Part #
U1,waferspace_p5x1_padring_v0.2,1,~,
U101,CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02,1,~,
